ID,Year,DCD,Sex,Age,Labour_force,Labour_force_participation_rate
494,2022,Sai Kung,Male,D,31.2,92.4
495,2022,Sai Kung,Male,E,36.6,46.3
496,2022,Sai Kung,Female,A,6.9,35.9
497,2022,Sai Kung,Female,B,32.9,85.2
498,2022,Sai Kung,Female,C,38.4,79.9
499,2022,Sai Kung,Female,D,35,74.2
500,2022,Sai Kung,Female,E,26,30.2
501,2022,Islands,Male,A,3,35.4
502,2022,Islands,Male,B,10.1,91.6
503,2022,Islands,Male,C,10.8,91.4
504,2022,Islands,Male,D,11,91.1
505,2022,Islands,Male,E,12.2,43.0
506,2022,Islands,Female,A,2.8,31.3
507,2022,Islands,Female,B,11.8,84.3
508,2022,Islands,Female,C,13.1,69.7
509,2022,Islands,Female,D,10.6,68.0
510,2022,Islands,Female,E,9.4,32.8
